Timestamp,NameOrID,RateSkills,GameplayStyle,drop,Language,RankPusher,PlayDays,PlayerType,MapPreference,Driver,camp,snake,bridgecamp,
2020/04/30 8:05:17 PM GMT+5:30,MiuSan×,3,Moderate rush,Georgopol;Novo;Military Base;Pochinki;School/Apartments;Georgopol City;Mylta,English;Hindi,No,Most days,No preference,Erangel,No,2,3,2,Started in early 2019
2020/04/30 8:32:39 PM GMT+5:30,AZĪlĪSPYDER,4,Mostly rushing,Georgopol;Novo;Military Base;Pochinki;School/Apartments;Rozhok;Mylta;Severny,English;Hindi,Casual pusher,Everyday,Support;Assault;Sniper,Erangel;Vikendi,No prefernce,2,1,3,Since Season 1
2020/05/07 11:02:04 AM GMT+5:30,AZĪIĪReApEr,4,Moderate rush,Military Base;Pochinki;School/Apartments;Rozhok;Mylta;Severny,English;Hindi,Yes,Everyday,Support;Sniper,Erangel,Yes,3,2,4,
2020/05/07 11:02:47 AM GMT+5:30,Sonic,4,Mostly rushing,Georgopol;Novo;Military Base,English,Casual pusher,Most days,Assault;Sniper,Erangel,Yes,1,2,4,
2020/05/07 11:06:10 AM GMT+5:30,GodEater,3,Moderate rush,No preference,English;Others,No,Most days,No preference,no preference,No prefernce,2,2,1,
2020/05/07 11:06:16 AM GMT+5:30,PITCH/:GROUDON,3,Moderate rush,Georgopol;Novo;Pochinki;Severny,English;Others,Yes,Everyday,Sniper;No preference,Erangel,Yes,2,1,5,
2020/05/07 11:15:27 AM GMT+5:30,5578568839,3,Moderate rush,Military Base;Mylta Power;Prison,English,Casual pusher,Most days,Sniper,Erangel,No prefernce,2,2,1,
2020/05/07 11:44:04 AM GMT+5:30,AnonymousPro91,4,Moderate rush,Georgopol;Military Base;Rozhok;Paradise Resort;ha thin;san martin;el pozo;goroka;dobro mesto;volnova;coal mine;cement factory,No mic;Others,Yes,Everyday,Assault,Vikendi,No prefernce,2,2,4,
2020/05/07 12:01:56 PM GMT+5:30,Sin6Rize,4,Moderate rush,Pochinki;School/Apartments;Yasnaya;Georgopol City;ha thin;power grid;san martin;villa;volnova;port;others,English;Hindi,Yes,Everyday,Sniper,Erangel,Yes,2,2,3,
2020/05/07 12:07:04 PM GMT+5:30,Ma_Caw,3,Moderate rush,no preference,English,Yes,Everyday,No preference,Erangel,Yes,5,3,4,
